geoID,geo
1,"Grenville County (Merrickville-Wolford), Ontario, Ontario Provincial Police, municipal [35045]"
2,"Brockville, Ontario, municipal [35046]"
3,"Frontenac (South Frontenac), Ontario, Ontario Provincial Police, municipal [35047]"
4,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]"
5,"Hawkesbury, Ontario, Ontario Provincial Police, municipal [35049]"
6,"East Algoma (Blind River), Ontario, Ontario Provincial Police, municipal [35050]"
7,"East Algoma (Spanish), Ontario, Ontario Provincial Police, municipal [35053]"
8,"East Algoma (North Shore), Ontario, Ontario Provincial Police, municipal [35054]"
9,"Carleton Place, Ontario, municipal [35056]"
10,"East Algoma (Thessalon), Ontario, Ontario Provincial Police, municipal [35057]"
11,"James Bay (Cochrane), Ontario, Ontario Provincial Police, municipal [35058]"
12,"Temiskaming (Dymond), Ontario, Ontario Provincial Police, municipal [35059]"
13,"Temiskaming (Temagami), Ontario, Ontario Provincial Police, municipal [35060]"
14,"East Nipissing Group of 3, Ontario, Ontario Provincial Police, municipal [35061]"
15,"Chatham, Ontario, municipal [35062]"
16,"North Bay (Mattawa), Ontario, Ontario Provincial Police, municipal [35063]"
17,"North Parry Sound Group of 2, Ontario, Ontario Provincial Police, municipal [35067]"
18,"North Bay (Powassan), Ontario, Ontario Provincial Police, municipal [35068]"
19,"Lennox and Addington County (Stone Mills), Ontario, Ontario Provincial Police, municipal [35035]"
20,"Lanark County (Mississippi Mills), Ontario, Ontario Provincial Police, municipal [35036]"
21,"Lanark County (Montague), Ontario, Ontario Provincial Police, municipal [35037]"
22,"Drummond-North Elmsley, Ontario, Ontario Provincial Police, municipal [35039]"
23,"Lanark County (Tay Valley Township), Ontario, Ontario Provincial Police, municipal [35040]"
24,"Peel Region (Mississauga/Brampton), Ontario, municipal [35041]"
25,"Brantford, Ontario, municipal [35042]"
26,"Lanark County (Beckwith), Ontario, Ontario Provincial Police, municipal [35043]"
27,"Grenville County (Augusta), Ontario, Ontario Provincial Police, municipal [35044]"
28,"Meaford-Thornbury, Ontario, municipal [35001]"
29,"Akwesasne Mohawk, Ontario, municipal [35002]"
30,"Alexandria, Ontario, municipal [35003]"
31,"Hanover, Ontario, municipal [35005]"
32,"Anishinabek, Ontario, municipal [35006]"
33,"Amherstburg, Ontario, municipal [35007]"
34,"Chatham-Kent, Ontario, municipal [35009]"
35,"Ottawa, Ontario, municipal [35010]"
36,"Nishnawbe-Aski Nation, Ontario, municipal [35011]"
37,"Woodstock, Ontario, municipal [35013]"
38,"Aylmer, Ontario, municipal [35014]"
39,"Lambton (Point Edward), Ontario, Ontario Provincial Police, municipal [35015]"
40,"Northumberland (Brighton), Ontario, Ontario Provincial Police, municipal [35016]"
41,"Brighton, Ontario, Ontario Provincial Police, municipal [35017]"
42,"Peterborough County (Asphodel-Norwood), Ontario, Ontario Provincial Police, municipal [35018]"
43,"Peterborough County (Douro/Dummer), Ontario, Ontario Provincial Police, municipal [35019]"
44,"Peterborough County (Municipality of Trent Lakes), Ontario, Ontario Provincial Police, municipal [35020]"
45,"Barrie, Ontario, municipal [35021]"
46,"Peterborough County (Havelock/Belmont/Methuen), Ontario, Ontario Provincial Police, municipal [35022]"
47,"Peterborough County (Selwyn), Ontario, Ontario Provincial Police, municipal [35023]"
48,"Peterborough County (Cavan-Millbrook-North Monaghan), Ontario, Ontario Provincial Police, municipal [35024]"
49,"Peterborough County (Otonabee-South Monaghan), Ontario, Ontario Provincial Police, municipal [35025]"
50,"Dufferin (Mono), Ontario, Ontario Provincial Police, municipal [35026]"
51,"Belleville, Ontario, municipal [35027]"
52,"Dryden (Ignace), Ontario, Ontario Provincial Police, municipal [35028]"
53,"Jaffray Melick, Ontario, Ontario Provincial Police, municipal [35029]"
54,"Keewatin, Ontario, Ontario Provincial Police, municipal [35030]"
55,"Kenora (Sioux Narrows-Nestor Falls), Ontario, Ontario Provincial Police, municipal [35031]"
56,"Red Lake, Ontario, Ontario Provincial Police, municipal [35032]"
57,"Thunder Bay (Shuniah), Ontario, Ontario Provincial Police, municipal [35033]"
58,"Leeds County (Rideau Lakes), Ontario, Ontario Provincial Police, municipal [35034]"
59,"Perth County (North Perth), Ontario, Ontario Provincial Police, municipal [35069]"
60,"Norfolk County, Ontario, Ontario Provincial Police, municipal [35070]"
61,"Cobourg, Ontario, municipal [35071]"
62,"Wellington County, Ontario, Ontario Provincial Police, rural [35072]"
63,"Wellington County, Ontario, Ontario Provincial Police, municipal [35073]"
64,"Lanark County (Lanark Highlands), Ontario, Ontario Provincial Police, municipal [35075]"
65,"Cornwall, Ontario, municipal [35076]"
66,"Prince Edward, Ontario, Ontario Provincial Police, municipal [35077]"
67,"Deep River, Ontario, municipal [35078]"
68,"James Bay (Smooth Rock Falls), Ontario, Ontario Provincial Police, municipal [35079]"
69,"Moore, Ontario, Ontario Provincial Police, municipal [35080]"
70,"Deseronto, Ontario, municipal [35082]"
71,"Dryden, Ontario, municipal [35084]"
72,"Peterborough County (North Kawartha), Ontario, Ontario Provincial Police, municipal [35085]"
73,"Addington Highlands, Ontario, Ontario Provincial Police, municipal [35086]"
74,"West Grey, Ontario, municipal [35088]"
75,"Stormont/Dundas/Glengarry, Ontario, Ontario Provincial Police, municipal [35089]"
76,"Lambton (St. Clair/Lambton Shores), Ontario, Ontario Provincial Police, municipal [35090]"
77,"Northumberland (Alnwick/Haldimand), Ontario, Ontario Provincial Police, municipal [35091]"
78,"Vanier, Ontario, municipal [35092]"
79,"Northumberland (Port Hope), Ontario, Ontario Provincial Police, municipal [35093]"
80,"Collingwood, Ontario, Ontario Provincial Police, rural [35094]"
81,"Collingwood, Ontario, Ontario Provincial Police, rural [35095]"
82,"Norwich, Ontario, municipal [35198]"
83,"Middlesex (Thames Centre), Ontario, Ontario Provincial Police, municipal [35201]"
84,"Dufferin (Orangeville), Ontario, Ontario Provincial Police, municipal [35204]"
85,"Durham Region (Oshawa/Whitby/Ajax), Ontario, municipal [35206]"
86,"Ottawa, Ontario, municipal [35207]"
87,"Six Nations, Ontario, municipal [35210]"
