violationId,violation,mostSerious,violationTypeId
1,"Total, all Criminal Code violations (including traffic) [25]",0,
2,Total Federal Statute violations [400],1,6
3,"Total, all Criminal Code violations (excluding traffic) [50]",0,
4,Total Criminal Code traffic violations [900],1,7
5,Total violent Criminal Code violations [100],0,2
6,Total property crime violations [200],0,1
7,Total other Criminal Code violations [300],0,
8,Homicide [110],1,2
9,Total other violations causing death [120],1,2
10,Attempted murder [1210],1,2
11,"Sexual assault, level 3, aggravated [1310]",1,2
12,"Sexual assault, level 2, weapon or bodily harm [1320]",1,2
13,"Sexual assault, level 1 [1330]",0,8
14,Total sexual violations against children [130],1,2
15,"Assault, level 3, aggravated [1410]",1,2
16,"Assault, level 2, weapon or bodily harm [1420]",1,2
17,"Assault, level 1 [1430]",0,2
18,Total other assaults [140],0,2
19,"Total firearms, use of, discharge, pointing [150]",0,2
20,Total robbery [160],0,2
21,Total abduction [170],0,2
22,Extortion [1620],1,5
23,Criminal harassment [1625],1,2
24,Uttering threats [1627],1,2
25,Indecent/Harassing communications [1626],0,5
26,Total other violent violations [180],0,2
27,Total assaults against a peace officer [135],0,2
28,Total forcible confinement or kidnapping [510],0,2
29,Total offences in relation to sexual services [190],0,2
30,"Sexual offence which occurred prior to January 4, 1983 [1300]",0,8
31,"Murder, first degree [1110]",0,2
32,"Murder, second degree [1120]",0,2
33,Manslaughter [1130],0,2
34,Infanticide [1140],0,2
35,Criminal negligence causing death [1150],0,2
36,Other related violations causing death [1160],0,2
37,Sexual interference [1345],0,8
38,Invitation to sexual touching [1350],0,8
39,Sexual exploitation [1355],0,8
40,Luring a child via a computer [1370],0,5
41,Making sexually explicit material available to children [1367],0,8
42,Parent or guardian procuring sexual activity: person procured under the age of 16 years [3165],0,8
43,Parent or guardian procuring sexual activity [1368],0,8
44,Householder permitting illegal sexual activity: person under the age of 16 years [3167],0,8
45,Householder permitting prohibited sexual activity [1369],0,8
46,Agreement or Arrangement - sexual offence against child [1371],0,8
47,"Bestiality in presence of, or incites, a child [1381]",0,8
48,Unlawfully causing bodily harm [1440],1,2
49,Criminal negligence causing bodily harm [1470],1,2
50,Other assaults [1480],0,2
51,Discharge firearm with intent [1450],1,2
52,Using firearm in commission of offence [1455],1,2
53,Pointing a firearm [1457],1,2
54,Robbery [1610],1,2
55,Robbery to steal a firearm [1611],1,2
56,"Abduction under the age 14, not parent or guardian [1530]",1,2
57,Abduction under the age 16 [1540],1,2
58,Removal of children from Canada [1545],1,2
59,Abduction under the age 14 contravening a custody order [1550],0,2
60,"Abduction under age 14, by parent or guardian [1560]",0,2
61,Conspire to commit murder [1220],0,2
62,Other sexual violations [1340],1,8
63,Incest [1360],0,8
64,Corrupting morals of a child [1365],0,2
65,Anal intercourse [1375],0,8
66,"Bestiality, commit or compel person [1380]",0,8
67,Voyeurism [1385],0,8
68,Trap likely to or causing bodily harm [1475],0,2
69,Hostage-taking [1520],1,2
70,Trafficking in persons [1525],1,2
71,Intimidation of a justice system participant or a journalist [1621],1,4
72,Intimidation of a non-justice participant [1622],1,4
73,Explosives causing death or bodily harm [1628],1,2
74,"Arson, disregard for human life [1629]",1,2
75,Other violent violations [1630],0,2
76,Sexual Exploitation of a person with a disability [1356],0,8
77,Nonconsensual distribution of intimate images [1390],0,8
78,Failure to comply with mandatory safeguards in relation to medical assistance in dying [1631],0,
79,Forging or destroying documents related to assistance requests with criminal intent [1632],1,4
80,Total breaking and entering [210],0,1
81,Total possession of stolen property [211],1,1
82,Total theft of motor vehicle [220],1,1
83,"Total theft over $5,000 (non-motor vehicle) [230]",0,1
84,"Total theft under $5,000 (non-motor vehicle) [240]",0,1
85,Fraud [2160],1,5
86,Total mischief [250],0,6
87,Arson [2110],1,1
88,Identity theft [2165],1,4
89,Identity fraud [2166],1,4
90,Total trafficking in stolen property [212],1,1
91,"Altering, removing or destroying Vehicle Identification Number (VIN) [2178]",0,7
92,Breaking and entering [2120],1,1
93,Breaking and entering to steal a firearm [2121],1,1
94,Break and enter to steal a firearm from a motor vehicle [2125],0,1
95,"Theft over $5,000 [2130]",1,1
96,"Theft over $5,000 from a motor vehicle [2132]",1,1
97,"Shoplifting over $5,000 [2133]",1,1
98,"Theft $5,000 or under [2140]",0,1
99,"Theft $5,000 or under from a motor vehicle [2142]",1,1
100,"Shoplifting $5,000 or under [2143]",1,1
101,Mischief [2170],1,6
102,Hate-motivated mischief relating to property used by identifiable group [2176],0,6
103,Mischief in relation to cultural property [2175],0,6
104,Mischief relating to war memorials [2177],0,6
105,"Offensive weapons, explosives [3310]",1,2
106,"Offensive weapons, prohibited [3320]",0,2
107,"Offensive weapons, restricted [3330]",0,2
108,Firearm transfers or serial numbers [3340],0,2
109,Weapons trafficking [3365],1,2
